Date,"Record Number","Record Type",Address,Description,"Permit Name",Status,"Short Notes",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
01/06/2022,BB-202200099,"Residential New","1775 ALVARADO TER SW, ATLANTA GA 30310","New 2 Story Home, new electrical, new plumbing, new hvac, new doors, windows, roofing, drywall and paint, cabinets, fixtures, new rear deck, new privacy fence","NSF Residence",Accepted,,33.734782,-84.445981,1,rooftop,1775,"Alvarado Ter SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
01/06/2022,BB-202200097,"Residential New","3619 OLD IVY LN NE, ATLANTA GA 30342","BUILD NEW HOUSE. BASEMENT. WOOD FRAING. FLAT ROOF. FACADES MIXING STUCCO, BRICK, MARBLE, AND PORCELAIN RAIN RAIN SCREEN.","New Single Family",Accepted,,33.856252,-84.373795,1,rooftop,3619,"Old Ivy Ln NE",,,Atlanta,GA,"Fulton County",30342,US,"City of Atlanta"
01/05/2022,BB-202200091,"Residential New","2576 WATKINS ST NW, ATLANTA GA 30318","NEW 2 STORY SINGLE FAMILY HOUSE WITH 2 CAR GARAGE, COVERED FRONT PORCH AND REAR PATIO.",NSF,Accepted,,33.78367,-84.472131,1,rooftop,2576,"Watkins St NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
01/05/2022,BB-202200061,"Residential New","472 HIAWASSEE DR SW, ATLANTA GA 30311","New Single Family Home","472 Hiawassee",Accepted,,33.743166,-84.492652,1,rooftop,472,"Hiawassee Dr SW",,,Atlanta,GA,"Fulton County",30311,US,"City of Atlanta"
01/04/2022,BB-202200037,"Residential New","985 FOREST OVERLOOK DR SW, ATLANTA GA 30331","New construction home. 2 story on partial unfinished basement","New Single Family",Accepted,,33.720893,-84.545248,0.9,range_interpolation,985,"Forest Overlook Dr SW",,,Atlanta,GA,"Fulton County",30331,US,"TIGER/Line® dataset from the US Census Bureau"
01/04/2022,BB-202200036,"Residential New","1251 STATE ST NW, ATLANTA GA 30318","CONSTRUCTION OF A 3 STORY HOUSE AND ACCESSORY STRUCTURE WITH DRIVEWAY EXTENSION AND HARDSCAPE.","ROGERS RESIDENCE -NSF",Accepted,,33.78905,-84.398399,1,rooftop,1251,"State St NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
01/04/2022,BB-202200027,"Residential New","394 SAWTELL AVE SE, ATLANTA GA 30315","New construction of single family home on vacant lot. 1 story wood framed on crawlspace foundation with fiber cement siding and asphalt shingles","New Single Family",Accepted,,33.70743,-84.37595,1,rooftop,394,"Sawtell Ave SE",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/29/2021,BB-202108940,"Residential New","105 REHOBOTH CIR SW, ATLANTA GA 30331","Proposed new single family residence new construction build to include 3 car garage, 4 bedrooms, 4 bathrooms, along with kitchen, living and dining areas.","NSF Residence",Accepted,,33.726156,-84.529901,0.95,range_interpolation,105,"Rehoboth Cir",,,Atlanta,GA,"Fulton County",30331,US,"TIGER/Line® dataset from the US Census Bureau"
12/27/2021,BB-202108905,"Residential New","637 IRA ST SW, ATLANTA GA 30312","NEW CONSTRUCTION OF SINGLE FAMILY RESIDENCE W/ NEW DRIVEWAY.",NSF,Accepted,,33.737546,-84.40024,1,rooftop,637,"Ira St SW",,,Atlanta,GA,"Fulton County",30312,US,"City of Atlanta"
12/27/2021,BB-202108903,"Residential New","1675 SOUTH OLYMPIAN WAY SW, ATLANTA GA 30310","CONSTRUCTION OF A SINGLE FAMILY RESIDENCE ON A VACANT LOT","TORRUELLA RESIDENCE-NEW SFR",Accepted,,33.736163,-84.442724,1,rooftop,1675,"S Olympian Way SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/22/2021,BB-202108844,"Residential New","1026 REEDER CIR NE, ATLANTA GA 30306","Construction of new single family house and swimming pool.","New Single Family and Pool",Accepted,,33.795265,-84.352837,1,rooftop,1026,"Reeder Cir NE",,,Atlanta,GA,"Fulton County",30306,US,"City of Atlanta"
12/21/2021,BB-202108886,"Residential New","387 VILLAGE CREEK DR SE, ATLANTA GA 30354","NEW CONSTRUCTION 1 STORY WITH FRONT PORCH, DRIVEWAY, AND SIDE STOOP.","HABITAT FOR HUMANITY",Accepted,,33.669811,-84.379665,1,rooftop,387,"Village Creek Dr SE",,,Atlanta,GA,"Fulton County",30354,US,"City of Atlanta"
12/21/2021,BB-202108828,"Residential New","259 LOVE ST SW, ATLANTA GA 30315","NEW TWO STORY DUPLEX WITH COVERED FRONT PORCH, SECOND STORY BALCONIES.","Two Story Duplex",Accepted,,33.734906,-84.39655,1,rooftop,259,"Love St SW",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/21/2021,BB-202108817,"Residential New","515 MCWILLIAMS RD SE, ATLANTA GA 30315","Install Cross-mod (Double Wide Manufactured house with a site built garage) permanently to the concrete foundation",Cross-Mods,Accepted,,33.68827,-84.372234,1,rooftop,515,"McWilliams Rd SE",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/20/2021,BB-202108825,"Residential New","813 COLEMAN ST SW, ATLANTA GA 30310","NEW  CONSTRUCTION",EF813,Accepted,,33.732799,-84.404073,1,rooftop,813,"Coleman St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/20/2021,BB-202108824,"Residential New","2114 MEMORIAL DR SE, ATLANTA GA 30317","NEW CONSTRUCTION","MEMORIAL NEW CONSTRUCTION",Accepted,,33.747723,-84.318581,1,rooftop,2114,"Memorial Dr SE",,,Atlanta,GA,"Dekalb County",30317,US,"City of Atlanta"
12/20/2021,BB-202108792,"Residential New","255 LOVE ST SW, ATLANTA GA 30315","New two story duplex with covered front porch, second story balconies.","New Duplex",Accepted,,33.734903,-84.396348,1,rooftop,255,"Love St SW",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/20/2021,BB-202108788,"Residential New","140 RACINE ST SW, ATLANTA GA 30314","Erection of a new single family dwelling unit","NSF Residence",Accepted,,33.751408,-84.440943,1,rooftop,140,"Racine St SW",,,Atlanta,GA,"Fulton County",30314,US,"City of Atlanta"
12/20/2021,BB-202108786,"Residential New","1994 DREW DR NW, ATLANTA GA 30318","Construction of a new single family home with attached garage(LD#201300025)","West Highlands Lot 647","Routed for Review",,33.79293,-84.454723,1,rooftop,1994,"Drew Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/20/2021,BB-202108785,"Residential New","1132 MOORES MILL RD NW, ATLANTA GA 30327","PROPOSED HOUSE, PORCHES, RETAINING WALLS, PATIOS, GARAGE, DRIVEWAY, WALKWAYS, AND POOL COMPLEX","PARKER RESIDENCE - NEW HOUSE/POOL",Accepted,,33.83226,-84.423456,1,rooftop,1132,"Moores Mill Rd NW",,,Atlanta,GA,"Fulton County",30327,US,"City of Atlanta"
12/17/2021,BB-202108779,"Residential New","1386 KENILWORTH DR SW, ATLANTA GA 30310","New 2 Story Home, new electrical, new plumbing, new hvac, new doors, windows, roofing, drywall and paint, cabinets, fixtures, new rear deck, new privacy fence","1386 Kinelworth Drive NSF",Accepted,,33.717195,-84.433775,1,rooftop,1386,"Kenilworth Dr SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/17/2021,BB-202108759,"Residential New","3053 DELTA WAY SE, ATLANTA GA 30342","New Construction of a one-story, four-bedroom home with a front porch, side stoop, and driveway","3053 Delta Way",Accepted,,33.671417,-84.380261,0.98,rooftop,3053,"Delta Way SE",,,Atlanta,GA,"Fulton County",30354,US,"City of Atlanta"
12/16/2021,BB-202108743,"Residential New","958 JOSEPH E BOONE BLVD NW, ATLANTA GA 30314","NEW CONSTRUCTION","958 JEB",Accepted,,33.763228,-84.41893,1,rooftop,958,"Joseph E Boone Blvd NW",,,Atlanta,GA,"Fulton County",30314,US,"City of Atlanta"
12/16/2021,BB-202108735,"Residential New","53 BOWEN AVE SE, ATLANTA GA 30315","NEW 2 STORY SINGLE FAMILY HOUSE WITH COVERED FRONT PORCH AND REAR DECK","NEW SINGLE FAMILY HOUSE",Accepted,,33.70973,-84.38399,1,rooftop,53,"Bowen Ave SE",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/16/2021,BB-202108734,"Residential New","2050 BOLTON RD NW, ATLANTA GA 30318","NEW 2 STORY DUPLEX WITH FRONT COVERED PORCH","NEW DUPLEX BUILDING B","Routed for Review",,33.811861,-84.474577,1,rooftop,2050,"Bolton Rd NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/16/2021,BB-202108731,"Residential New","2050 BOLTON RD NW, ATLANTA GA 30318","BUILDING A IS A NEW TWO STORY DUPLEX WITH A FRONT COVERED PORCH AND REAR DECK","NEW DUPLEX BUILDING A",Posted,,33.811861,-84.474577,1,rooftop,2050,"Bolton Rd NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/16/2021,BB-202108722,"Residential New","2071 FAIRHAVEN CIR NE, ATLANTA GA 30305","CONSTRUCTION OF NEW RESIDENCE.",NSF,Accepted,,33.81436,-84.388704,1,rooftop,2071,"Fairhaven Cir NE",,,Atlanta,GA,"Fulton County",30305,US,"City of Atlanta"
12/16/2021,BB-202108717,"Residential New","3355 VALLEY RD NW, ATLANTA GA 30305","Construct two-story new house, with basement & pool","Valley Road New Residence",Accepted,,33.846112,-84.383885,1,rooftop,3355,"Valley Rd NW",,,Atlanta,GA,"Fulton County",30305,US,"City of Atlanta"
12/16/2021,BB-202108716,"Residential New","132 2ND ST NW, ATLANTA GA 30318","NEW TWO STORY SINGLE FAMILY HOME WITH FRONT PORCH AND DECK, AND SLAB FOUNDATION.",NSF,"Routed for Review",,33.785717,-84.467812,1,rooftop,132,"2nd St NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/15/2021,BB-202108697,"Residential New","1025 AVONDALE AVE SE, ATLANTA GA 30312","New 2-story SFR with a detached garage with an apt above the garage.","Weaver-Ivanov New SFR",Accepted,,33.726548,-84.362627,1,rooftop,1025,"Avondale Ave SE",,,Atlanta,GA,"Fulton County",30312,US,"City of Atlanta"
12/15/2021,BB-202108681,"Residential New","102 PEACHTREE CIR NE, ATLANTA GA 00000","CONSTRUCTION OF NEW SINGLE FAMILY RESIDENCE, POOL & EXTERIOR SITE","DESAI RESIDENCE-NEW SFR & POOL",Accepted,,33.791871,-84.383969,1,rooftop,102,"Peachtree Cir NE",,,Atlanta,GA,"Fulton County",30309,US,"City of Atlanta"
12/15/2021,BB-202108679,"Residential New","235 BEVERLY RD NE, ATLANTA GA 30309","Build new 2 story home with partial finish basement.","Kohn Residence NSF",Accepted,,33.79642,-84.379573,1,rooftop,235,"Beverly Rd NE",,,Atlanta,GA,"Fulton County",30309,US,"City of Atlanta"
12/14/2021,BB-202108669,"Residential New","1944 JAMES RED MOORE BLVD NW, ATLANTA GA 30318","NEW SINGLE FAMILY WITH ATTACHED GARAGE","WEST HIGHLAND LOT 712",Accepted,,33.794316,-84.453327,1,rooftop,1944,"James Red Moore Blvd NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/14/2021,BB-202108668,"Residential New","1952 JAMES RED MOORE BLVD NW, ATLANTA GA 30318","NEW SINGLE FAMILY WITH ATTACHED GARAGE","WEST HIGHLAND LOT 714",Accepted,,33.794239,-84.453571,1,rooftop,1952,"James Red Moore Blvd NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/14/2021,BB-202108628,"Residential New","4075 FAIRBURN AVE SW, ATLANTA GA 30331","New single-family house rear deck and front porch","Fairburn Project 1",Accepted,,33.692294,-84.522631,1,rooftop,4075,"Fairburn Ave SW",,,Atlanta,GA,"Fulton County",30331,US,"City of Atlanta"
12/14/2021,BB-202108613,"Residential New","4085 FAIRBURN AVE SW, ATLANTA GA 30331","Erection of a new single family dwelling unit.","Fairfield Place NSF",Accepted,,33.692287,-84.522967,1,rooftop,4085,"Fairburn Ave SW",,,Atlanta,GA,"Fulton County",30331,US,"City of Atlanta"
12/14/2021,BB-202108611,"Residential New","4081 FAIRBURN AVE SW, ATLANTA GA 30331","Erection of a new single family dwelling unit.","Barrett Residence 2",Accepted,,33.69229,-84.522796,1,rooftop,4081,"Fairburn Ave SW",,,Atlanta,GA,"Fulton County",30331,US,"City of Atlanta"
12/13/2021,BB-202108606,"Residential New","1737 WEST WESLEY RD NW, ATLANTA GA 30327","NEW TWO STORY SINGLE FAMILY HOUSE WITH UNFINISHED BASEMENT, FRONT PORCH, SCREENED PORCH, REAR TERRACE AND 3 CAR GARAGE.",NSF,"Routed for Review",,33.840151,-84.443992,1,rooftop,1737,"W Wesley Rd NW",,,Atlanta,GA,"Fulton County",30327,US,"City of Atlanta"
12/13/2021,BB-202108604,"Residential New","608 SOUTH EVELYN PL NW, ATLANTA GA 30318","Erection of a new single family dwelling unit.","BARK RESIDENCE-NSF",Accepted,,33.771708,-84.44663,1,rooftop,608,"S Evelyn Pl NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/13/2021,BB-202108601,"Residential New","1124 VIOLET AVE NW, ATLANTA GA 30318","NEW TWO STORY SINGLE FAMILY HOUSE WITH COVERED FRONT PORCH AND REAR PATIO.",NSF,Accepted,,33.785611,-84.464379,1,rooftop,1124,"Violet Ave NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/13/2021,BB-202108593,"Residential New","1240 OAKLAND TER SW, ATLANTA GA 30310","To construct a new duplex","New Duplex",Posted,,33.720533,-84.428586,1,rooftop,1240,"Oakland Ter SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/13/2021,BB-202108591,"Residential New","460 WIMBLEDON RD NE, ATLANTA GA 30324","New construction single family residence with attached garage and unfinished basement/storage.","Strennen Residence NSF",Accepted,,33.807014,-84.372193,1,rooftop,460,"Wimbledon Rd NE",,,Atlanta,GA,"Fulton County",30324,US,"City of Atlanta"
12/10/2021,BB-202108582,"Residential New","716 LILLIAN AVE SW, ATLANTA GA 30310","New single family with privacy fence, balconies/porches/decks","718 Lillian Ave","Routed for Review",,33.73092,-84.411214,1,rooftop,716,"Lillian Ave SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/10/2021,BB-202108566,"Residential New","4152 CLUB DR NE, ATLANTA GA 30319","NEW FOUNDATION IN EXISTING FOOTPRINT PLUS ADDITION INTO UNUSED PART OF SIDE YARD. TWO-STORY SINGLE-FAMILY RESIDENCE ON FINISHED STREET AND UPPER LEVEL PLUS TWO-CAR GARAGE. THE BASEMENT HAS EXIT TO THE LOWER LEVEL OF THE YARD. LANDSCAPING WILL ACCOMMODATE THE STORMWATER MITIGATION PLAN.","4152 CLUB DR NEW HOUSE",Accepted,,33.868399,-84.357146,1,rooftop,4152,"Club Dr NE",,,Atlanta,GA,"Fulton County",30319,US,"City of Atlanta"
12/09/2021,BB-202108544,"Residential New","1431 GRAYMONT DR SW, ATLANTA GA 30310","NEW 3 BED/ 2.5 BATH SINGLE FAMILY RESIDENCE.","HAYUT RESIDENCE-NSF","Routed for Review",,33.715169,-84.436897,1,rooftop,1431,"Graymont Dr SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/09/2021,BB-202108519,"Residential New","1163 AMSTERDAM AVE NE, ATLANTA GA 30306","CONSTRUCT NEW SINGLE-FAMILY RESIDENCE WITH BASEMENT, COVERED FRONT PORCH, AND COVERED REAR PATIO.","NEW SISNGLE FAMILY RESIDENCE",Posted,,33.787292,-84.349143,1,rooftop,1163,"Amsterdam Ave NE",,,Atlanta,GA,"Fulton County",30306,US,"City of Atlanta"
12/09/2021,BB-202108516,"Residential New","753 MARTIN ST SE, ATLANTA GA 30315","CONSTRUCTION OF A NEW SINGLE-FAMILY HOUSE","NEW SINGLE-FAMILY HOME",Accepted,,33.734065,-84.384405,1,rooftop,753,"Martin St SE",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/08/2021,BB-202108538,"Residential New","1427 GRAYMONT DR SW, ATLANTA GA 30310","NEW 3 BEDROOM  CONSTRUCTION","HAYUT NEW CONSTRUCTION",Accepted,,33.715305,-84.436899,1,rooftop,1427,"Graymont Dr SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
